Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MU,MU,MU,MU,MU,MU
Date,,,,,,
2023-01-03,49.87538528442383,50.369998931884766,50.959999084472656,49.54999923706055,50.560001373291016,12422800
2023-01-04,53.66777420043945,54.20000076293945,54.52000045776367,52.72999954223633,53.04999923706055,25077300
2023-01-05,54.172767639160156,54.709999084472656,55.38999938964844,53.88999938964844,53.88999938964844,18030900
2023-01-06,56.212547302246094,56.77000045776367,57.290000915527344,54.029998779296875,55.43000030517578,21069800
2023-01-09,55.80656814575195,56.36000061035156,57.52000045776367,55.650001525878906,56.81999969482422,15715900
2023-01-10,56.648216247558594,57.209999084472656,57.279998779296875,55.86000061035156,56.15999984741211,10571300
2023-01-11,57.4898796081543,58.060001373291016,58.470001220703125,56.91999816894531,57.349998474121094,12143000
2023-01-12,56.7076301574707,57.27000045776367,58.2400016784668,56.43000030517578,58.11000061035156,14888100
2023-01-13,56.3709716796875,56.93000030517578,56.970001220703125,56.119998931884766,56.72999954223633,12520600
2023-01-17,56.291751861572266,56.849998474121094,58.599998474121094,56.54999923706055,57.15999984741211,10962700
2023-01-18,55.95509338378906,56.5099983215332,58.04999923706055,56.36000061035156,57.5099983215332,10035300
2023-01-19,55.80656814575195,56.36000061035156,57.09000015258789,55.279998779296875,55.709999084472656,12034200
2023-01-20,57.88594436645508,58.459999084472656,58.56999969482422,56.7599983215332,57.470001220703125,13826400
2023-01-23,61.21295166015625,61.81999969482422,61.90999984741211,58.86000061035156,58.91999816894531,20175400
2023-01-24,60.658451080322266,61.2599983215332,61.720001220703125,60.869998931884766,61.20000076293945,10183200
2023-01-25,60.93570327758789,61.540000915527344,61.66999816894531,60.41999816894531,60.66999816894531,10787200
2023-01-26,62.183326721191406,62.79999923706055,63.04999923706055,61.290000915527344,62.58000183105469,12219500
2023-01-27,63.24281692504883,63.869998931884766,64.33999633789062,61.959999084472656,62.13999938964844,15895800
2023-01-30,61.104026794433594,61.709999084472656,63.279998779296875,61.689998626708984,62.7599983215332,16169000
2023-01-31,59.70787811279297,60.29999923706055,60.34000015258789,58.650001525878906,59.099998474121094,23856300
2023-02-01,61.98529052734375,62.599998474121094,63.22999954223633,60.38999938964844,60.619998931884766,20902200
2023-02-02,62.54969024658203,63.16999816894531,63.91999816894531,61.86000061035156,63.560001373291016,15877600
2023-02-03,61.797157287597656,62.40999984741211,63.790000915527344,61.900001525878906,62.0,12187100
2023-02-06,59.391021728515625,59.97999954223633,61.18000030517578,59.7400016784668,60.939998626708984,11484300
2023-02-07,61.5199089050293,62.130001068115234,62.38999938964844,59.70000076293945,60.09000015258789,12713100
2023-02-08,59.658363342285156,60.25,62.33000183105469,60.22999954223633,61.45000076293945,9510500
2023-02-09,59.58906173706055,60.18000030517578,61.81999969482422,59.689998626708984,61.20000076293945,10094700
2023-02-10,59.23258972167969,59.81999969482422,60.7599983215332,59.25,60.5,11429700
2023-02-13,59.52964782714844,60.119998931884766,60.279998779296875,58.84000015258789,59.81999969482422,11466200
2023-02-14,61.46049880981445,62.06999969482422,62.310001373291016,59.029998779296875,59.52000045776367,12496200
2023-02-15,61.23275375366211,61.84000015258789,61.939998626708984,60.459999084472656,61.33000183105469,10457400
2023-02-16,59.460330963134766,60.04999923706055,61.349998474121094,59.849998474121094,60.779998779296875,12683400
2023-02-17,58.4305419921875,59.0099983215332,60.18000030517578,58.5099983215332,59.84000015258789,10874900
2023-02-21,57.034393310546875,57.599998474121094,59.709999084472656,57.4900016784668,58.34000015258789,12667500
