tickers,sentiment_score
US,0.8108
JPOW,0.79125
GAIN,0.7783
$TGT,0.6486
HOLY,0.628
SHIT,0.628
WIN,0.628
$SOUN,0.6239
SPY,0.5423
PLTR,0.5267
SOFI,0.5267
EST,0.4588
NVDA,0.4349
QS,0.4278
NVMI,0.4278
YOLO,0.28865
MU,0.2732
INTC,0.2023
SOUN,0.11333333333333334
I,0.09654545454545455
TSLQ,0.0
QC,0.0
ACHR,0.0
APLD,0.0
A,0.0
$TSLA,0.0
GOOG,0.0
FOMC,0.0
AVGO,0.0
DCA,0.0
VIX,0.0
TSLS,0.0
TSLA,0.0
LFG,0.0
LUCID,0.0
P,-0.011399999999999993
S,-0.011399999999999993
BTC,-0.0516
UNH,-0.12040000000000001
AMZN,-0.128
NOT,-0.3875
$ASTS,-0.4767
$GSAT,-0.4767
CEO,-0.4767
AMD,-0.49949999999999994
DEAD,-0.7213
